dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
musical instrument-related / noise-related,-0.23628523057209128,-0.22133845132053054,-0.19715532334603436,-0.22919399162997434,-0.19714774260031165,-0.2067322372074878,-0.19816894419373354,-0.1697935285117793,-0.1837835324347541,-0.149330060781234,-0.11949948532210941,0.0044299184267458935
sky-related / flying-related / floating-related,-0.2043935538168924,-0.16101665263535692,-0.11422245568428857,-0.13089023512100728,-0.13004182742899983,-0.13790166358141254,-0.053255961773094995,-0.11221594115777234,-0.07746632973219247,-0.006815959239728775,0.06932106023699769,-0.01918195672226819
spherical / ellipsoid / rounded / voluminous,-0.24040075622800927,-0.21228465004203767,-0.23654554776932724,-0.2455184659195513,-0.22091325423840957,-0.23201514137661516,-0.21580750191602127,-0.2257093553947076,-0.2127085891436029,-0.16544907729268843,-0.1493279796349123,-0.08038357695869025
repetitive,-0.2863469441802433,-0.22897145848010836,-0.27888856415036867,-0.26613166974311575,-0.2053815691284815,-0.2354785699700528,-0.2405838600868373,-0.2519491836016656,-0.2570623870408322,-0.22676540219149022,-0.1910914807355537,-0.2082574864460569
flat / patterned,-0.2437080622598189,-0.2113157714003604,-0.25839716088145726,-0.2302017733843591,-0.20001982091249437,-0.22016755842244407,-0.2207774679446206,-0.16581012964775454,-0.118410569174346,-0.18208987727321357,-0.1782636966220057,-0.15578817628396235
white,-0.19428794318967646,-0.24730998470490073,-0.17061055538379555,-0.1604335578943994,-0.17883621969992758,-0.19125080669405636,-0.20151295817315673,-0.18380156615525212,-0.1769562661522217,-0.15347241233189735,-0.20324357962180373,-0.14024936944620103
thin / flat,-0.24140047780579588,-0.2617249826373478,-0.2307347624858731,-0.21779764782307276,-0.22466116496138144,-0.2106973591641479,-0.22169613412940747,-0.2269427167128919,-0.22733128469720376,-0.18397873330004688,-0.17021208208942307,-0.168930634815873
disgusting / bugs,-0.18842617063195588,-0.16751143891410658,-0.17221977116491338,-0.15862497838121192,-0.17905973969985634,-0.17604442576030244,-0.16442387264115887,-0.15002656931539549,-0.15395576654551602,-0.08635507279397436,0.12981177501029229,0.1669963225907819
string-related,-0.23691400392458517,-0.22190250843111214,-0.23158322188814284,-0.2115137914308547,-0.2190168711939049,-0.191986897716248,-0.21372856547564067,-0.2050648683565246,-0.20621548626624353,-0.15517629509297515,-0.058162178344970394,-0.08283826714730913
arms/legs/skin-related,-0.1939894215488447,-0.18689378761222364,-0.2024538834406635,-0.18579826274739664,-0.18871066969979444,-0.177677583633425,-0.17598960547469855,-0.16289130567193166,-0.15021811672535446,-0.054173237304461885,-0.017405043788756958,0.043821886018892586
shiny / transparent,-0.22948093074045128,-0.23863600215065794,-0.2237374225123876,-0.2085963385973404,-0.21794134414301713,-0.22913893500479698,-0.19112091714809631,-0.20920381580407854,-0.2003545041199819,-0.17260114185430564,-0.12433931003335452,-0.08417451072436899
construction-related / physical work-related,-0.25906094401827273,-0.24494297342734295,-0.23940661514812955,-0.23421486573057937,-0.21681080165356104,-0.21184877765595145,-0.22531721412798622,-0.18186049130909332,-0.17797294278275522,-0.1563423206760759,-0.09964969631391551,-0.1923097636132396
fire-related / heat-related,-0.19394327130317546,-0.18124376040406398,-0.1812772035000425,-0.18533173882003662,-0.1775648144178863,-0.19353687027285482,-0.17153189682772418,-0.1683180759016749,-0.16499413427836496,-0.13475721968001042,-0.15832552754868168,-0.02106200897117927
head-related / face-related,-0.17653259903821428,-0.1888027335219129,-0.1938710644505084,-0.16193687256752676,-0.16787676117893136,-0.1618471330295541,-0.13764792040164364,-0.14364610338027273,-0.11334257884778198,-0.024621562889883597,0.00041338505939991776,-0.04920000936266078
beams-related,-0.21044389386135043,-0.1725607018956259,-0.1536481492397621,-0.17435969599247314,-0.11979025158781242,-0.11542035832039299,-0.1262428641294444,-0.10672214666246349,-0.11708095942063368,-0.11748579511464863,-0.09698356250493889,-0.12993753438020783
seating-related / put things on top,-0.20969904378034698,-0.19866537525292904,-0.16093987617026118,-0.16807201018499685,-0.15773844121422465,-0.16530028624558413,-0.16353539945057127,-0.15372573896904318,-0.1297211579793156,-0.08157304290570067,-0.09191982151699984,-0.1212604796732597
container-related / hollow,-0.22793920282054847,-0.23573464442134795,-0.21389121085724927,-0.20910680387262426,-0.19671019780564625,-0.18886439145000833,-0.19468118388281774,-0.1821870514474715,-0.16406152715044975,-0.15462508874007574,-0.17387414179603167,-0.15701378685605105
child-related / toy-related,-0.17822725175120802,-0.1723349267618104,-0.16453581366311187,-0.17341364308114682,-0.15692249699547056,-0.1682623123350011,-0.15450371287415865,-0.15703143881073278,-0.12874100948388212,-0.1294942716638905,-0.08663694063598482,-0.0659193369948492
medicine-related,-0.18209201326110902,-0.18687181238688222,-0.17994917474501526,-0.16968220535283018,-0.18008620729277913,-0.17269036307868557,-0.1752189876947563,-0.17464908728482498,-0.1682151243328125,-0.16466360072127828,-0.13156550054147864,-0.06954479993637586
has grating,-0.17275382268759287,-0.1296066707571466,-0.14345060730006476,-0.13522179647664223,-0.11288545574411413,-0.12060151508956185,-0.13042226917985245,-0.1285277294283229,-0.1320179382055353,-0.1583000839174742,-0.14157194518228255,-0.14366560189821898
handicraft-related,-0.20716520922332982,-0.20162701436797326,-0.19664140662655005,-0.18947268235426984,-0.2103890371155439,-0.19838749312267256,-0.19584233199463985,-0.19790763882182216,-0.1943028830146194,-0.18635147706700894,-0.17210224837219168,-0.17075503206335907
cylindrical / conical,-0.19540663155295324,-0.19403377640285213,-0.2068017372446651,-0.20184614569638515,-0.19390551984192195,-0.20309728742505917,-0.18713540315819976,-0.1907660027004412,-0.1894414097488466,-0.18466930438059093,-0.17997397264636827,-0.15602454507380337
