dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
long/thin,-0.5023476562400624,-0.43493783321264234,-0.3665508966749085,-0.37324149512636184,-0.3731303288104928,-0.406868171690552,-0.43508302037462965,-0.33168738603257353,-0.34774213607411353,-0.40581983761596385,-0.5130931581385643,-0.4219398351335857
weapon-/danger-related,-0.43920957663141724,-0.40879703896624076,-0.3603367456390236,-0.3743021319297508,-0.39316601832420006,-0.39985392064666203,-0.45123434723139866,-0.43447678128710354,-0.47879801905415853,-0.44492002444066236,-0.24582553804289708,-0.3213140374348953
black,-0.4477225483207885,-0.3848894956372684,-0.2861144906121036,-0.303395504727199,-0.381972756832208,-0.3255660962815672,-0.34656451908367303,-0.3798184567091032,-0.37704652777498926,-0.4057213904037258,-0.48661081331046785,-0.4773626626709313
household,-0.4917555340943731,-0.4708239557910512,-0.4162945012640509,-0.41587899940965456,-0.43025817222627794,-0.40880020909820325,-0.453323024595758,-0.4276857956890159,-0.4618217099613404,-0.4531491258136755,-0.5496168239307575,-0.45386561579362605
feminine (stereotypical),-0.44177309714965185,-0.4205033705640482,-0.38597953464973656,-0.40651176048976456,-0.44057052180753664,-0.4038110601143865,-0.43382073399475996,-0.42456371308649565,-0.43613667110232335,-0.4630209599097064,-0.4379636025299187,-0.2945004473337258
body part-related,-0.2606205999205653,-0.2124653541217889,-0.24131789106754553,-0.22206112800773736,-0.23812467397582648,-0.17757112790591112,-0.15322689588008154,-0.13164433095218442,-0.041012932733991425,0.008839496366257249,-0.011918012098950825,0.054542200089399806
tubular,-0.4446327636101013,-0.42205490383041155,-0.37323931272226685,-0.34624943819131304,-0.43088587993974836,-0.38971002092519846,-0.4262602351990328,-0.3719940360206253,-0.39828042548713927,-0.4108018255755488,-0.42820377462294856,-0.24580029667372494
music-/hearing-/hobby-related/loud,-0.34465775013733446,-0.3062758513310875,-0.2701570820945991,-0.3240210837127193,-0.31566500253453733,-0.33536602659881964,-0.3444930078695261,-0.31556184030021694,-0.3356941561627025,-0.3384782947485734,-0.4246099597691335,-0.20862888415484138
grid-/grating-related,-0.42070244314011274,-0.3016253698504632,-0.3258885745113065,-0.3316437637853664,-0.24317052330678046,-0.3106506592967848,-0.3489746120223378,-0.34674787835012766,-0.3394538440943642,-0.44178376587683155,-0.42373323455669176,-0.4126160499344371
repetitive/spiky,-0.43919060832802037,-0.2858628622430175,-0.3203484497624416,-0.3530000314480901,-0.273206711679572,-0.3845624672761363,-0.40325551020717665,-0.40528233208340714,-0.3601359370601289,-0.3825882341719695,-0.34751020547993594,-0.35815731022207964
construction-/craftsmanship-related,-0.4626973511579302,-0.4283513442450939,-0.38584794098751174,-0.38887956116186184,-0.3885121242107028,-0.39134742750942975,-0.42985270129297115,-0.4033808485570751,-0.4052848324806646,-0.3646403767134454,-0.43037948059086584,-0.494180683515155
